kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_penduduk,tahun
3215,KABUPATEN KARAWANG,PEREMPUAN,1122833,2018
3216,KABUPATEN BEKASI,LAKI-LAKI,1336713,2018
3216,KABUPATEN BEKASI,PEREMPUAN,1303857,2018
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,841125,2018
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,808686,2018
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,210115,2018
3218,KABUPATEN PANGANDARAN,PEREMPUAN,210397,2018
3271,KOTA BOGOR,LAKI-LAKI,521710,2018
3271,KOTA BOGOR,PEREMPUAN,507374,2018
3272,KOTA SUKABUMI,LAKI-LAKI,173376,2018
3272,KOTA SUKABUMI,PEREMPUAN,171421,2018
3273,KOTA BANDUNG,LAKI-LAKI,1233357,2018
3273,KOTA BANDUNG,PEREMPUAN,1218822,2018
3274,KOTA CIREBON,LAKI-LAKI,169139,2018
3274,KOTA CIREBON,PEREMPUAN,168447,2018
3275,KOTA BEKASI,LAKI-LAKI,1230001,2018
3275,KOTA BEKASI,PEREMPUAN,1206576,2018
3276,KOTA DEPOK,LAKI-LAKI,930827,2018
3276,KOTA DEPOK,PEREMPUAN,914105,2018
3277,KOTA CIMAHI,LAKI-LAKI,276275,2018
3277,KOTA CIMAHI,PEREMPUAN,272098,2018
3278,KOTA TASIKMALAYA,LAKI-LAKI,362388,2018
3278,KOTA TASIKMALAYA,PEREMPUAN,351157,2018
3279,KOTA BANJAR,LAKI-LAKI,102198,2018
3279,KOTA BANJAR,PEREMPUAN,101902,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,2419341,2019
3201,KABUPATEN BOGOR,PEREMPUAN,2296583,2019
3202,KABUPATEN SUKABUMI,LAKI-LAKI,1309395,2019
3202,KABUPATEN SUKABUMI,PEREMPUAN,1262495,2019
3203,KABUPATEN CIANJUR,LAKI-LAKI,1182755,2019
3203,KABUPATEN CIANJUR,PEREMPUAN,1109611,2019
3204,KABUPATEN BANDUNG,LAKI-LAKI,1817407,2019
3204,KABUPATEN BANDUNG,PEREMPUAN,1744272,2019
3205,KABUPATEN GARUT,LAKI-LAKI,1168329,2019
3205,KABUPATEN GARUT,PEREMPUAN,1116089,2019
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,913795,2019
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,882701,2019
