kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_korban,tahun
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,0,2021
3210,KABUPATEN MAJALENGKA,PEREMPUAN,0,2021
3211,KABUPATEN SUMEDANG,LAKI-LAKI,1,2021
3211,KABUPATEN SUMEDANG,PEREMPUAN,4,2021
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,0,2021
3212,KABUPATEN INDRAMAYU,PEREMPUAN,0,2021
3213,KABUPATEN SUBANG,LAKI-LAKI,1,2021
3213,KABUPATEN SUBANG,PEREMPUAN,0,2021
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,2021
3214,KABUPATEN PURWAKARTA,PEREMPUAN,0,2021
3215,KABUPATEN KARAWANG,LAKI-LAKI,1,2021
3215,KABUPATEN KARAWANG,PEREMPUAN,0,2021
3216,KABUPATEN BEKASI,LAKI-LAKI,1,2021
3216,KABUPATEN BEKASI,PEREMPUAN,5,2021
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,0,2021
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,7,2021
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,2021
3218,KABUPATEN PANGANDARAN,PEREMPUAN,0,2021
3271,KOTA BOGOR,LAKI-LAKI,0,2021
3271,KOTA BOGOR,PEREMPUAN,0,2021
3272,KOTA SUKABUMI,LAKI-LAKI,1,2021
3272,KOTA SUKABUMI,PEREMPUAN,0,2021
3273,KOTA BANDUNG,LAKI-LAKI,32,2021
3273,KOTA BANDUNG,PEREMPUAN,123,2021
3274,KOTA CIREBON,LAKI-LAKI,1,2021
3274,KOTA CIREBON,PEREMPUAN,0,2021
3275,KOTA BEKASI,LAKI-LAKI,0,2021
3275,KOTA BEKASI,PEREMPUAN,5,2021
3276,KOTA DEPOK,LAKI-LAKI,1,2021
3276,KOTA DEPOK,PEREMPUAN,3,2021
3277,KOTA CIMAHI,LAKI-LAKI,1,2021
3277,KOTA CIMAHI,PEREMPUAN,0,2021
