kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_usia,jumlah_korban,tahun
3204,KABUPATEN BANDUNG,LAKI-LAKI,60+,0,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,TIDAK DIKETAHUI,1,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,0-5,8,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,13-17,10,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,18-24,3,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,25-44,3,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,45-59,1,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,6-12,17,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,60+,0,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,TIDAK DIKETAHUI,3,2018
3205,KABUPATEN GARUT,LAKI-LAKI,0-5,2,2018
3205,KABUPATEN GARUT,LAKI-LAKI,13-17,0,2018
3205,KABUPATEN GARUT,LAKI-LAKI,18-24,0,2018
3205,KABUPATEN GARUT,LAKI-LAKI,25-44,0,2018
3205,KABUPATEN GARUT,LAKI-LAKI,45-59,0,2018
3205,KABUPATEN GARUT,LAKI-LAKI,6-12,0,2018
3205,KABUPATEN GARUT,LAKI-LAKI,60+,0,2018
3205,KABUPATEN GARUT,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3205,KABUPATEN GARUT,PEREMPUAN,0-5,0,2018
3205,KABUPATEN GARUT,PEREMPUAN,13-17,1,2018
3205,KABUPATEN GARUT,PEREMPUAN,18-24,0,2018
3205,KABUPATEN GARUT,PEREMPUAN,25-44,0,2018
3205,KABUPATEN GARUT,PEREMPUAN,45-59,0,2018
3205,KABUPATEN GARUT,PEREMPUAN,6-12,1,2018
3205,KABUPATEN GARUT,PEREMPUAN,60+,0,2018
3205,KABUPATEN GARUT,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,0-5,2,2018
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,13-17,0,2018
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,18-24,1,2018
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,25-44,0,2018
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,45-59,0,2018
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,6-12,1,2018
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,60+,0,2018
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,0-5,1,2018
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,13-17,8,2018
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,18-24,5,2018
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,25-44,1,2018
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,45-59,0,2018
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,6-12,4,2018
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,60+,0,2018
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3207,KABUPATEN CIAMIS,LAKI-LAKI,0-5,0,2018
3207,KABUPATEN CIAMIS,LAKI-LAKI,13-17,0,2018
3207,KABUPATEN CIAMIS,LAKI-LAKI,18-24,0,2018
3207,KABUPATEN CIAMIS,LAKI-LAKI,25-44,0,2018
3207,KABUPATEN CIAMIS,LAKI-LAKI,45-59,0,2018
3207,KABUPATEN CIAMIS,LAKI-LAKI,6-12,0,2018
3207,KABUPATEN CIAMIS,LAKI-LAKI,60+,0,2018
3207,KABUPATEN CIAMIS,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3207,KABUPATEN CIAMIS,PEREMPUAN,0-5,0,2018
3207,KABUPATEN CIAMIS,PEREMPUAN,13-17,0,2018
3207,KABUPATEN CIAMIS,PEREMPUAN,18-24,1,2018
3207,KABUPATEN CIAMIS,PEREMPUAN,25-44,2,2018
3207,KABUPATEN CIAMIS,PEREMPUAN,45-59,1,2018
3207,KABUPATEN CIAMIS,PEREMPUAN,6-12,1,2018
3207,KABUPATEN CIAMIS,PEREMPUAN,60+,0,2018
3207,KABUPATEN CIAMIS,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3208,KABUPATEN KUNINGAN,LAKI-LAKI,0-5,0,2018
3208,KABUPATEN KUNINGAN,LAKI-LAKI,13-17,5,2018
3208,KABUPATEN KUNINGAN,LAKI-LAKI,18-24,0,2018
3208,KABUPATEN KUNINGAN,LAKI-LAKI,25-44,0,2018
3208,KABUPATEN KUNINGAN,LAKI-LAKI,45-59,0,2018
3208,KABUPATEN KUNINGAN,LAKI-LAKI,6-12,0,2018
3208,KABUPATEN KUNINGAN,LAKI-LAKI,60+,0,2018
3208,KABUPATEN KUNINGAN,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3208,KABUPATEN KUNINGAN,PEREMPUAN,0-5,0,2018
3208,KABUPATEN KUNINGAN,PEREMPUAN,13-17,7,2018
3208,KABUPATEN KUNINGAN,PEREMPUAN,18-24,0,2018
3208,KABUPATEN KUNINGAN,PEREMPUAN,25-44,0,2018
3208,KABUPATEN KUNINGAN,PEREMPUAN,45-59,0,2018
3208,KABUPATEN KUNINGAN,PEREMPUAN,6-12,4,2018
3208,KABUPATEN KUNINGAN,PEREMPUAN,60+,0,2018
3208,KABUPATEN KUNINGAN,PEREMPUAN,TIDAK DIKETAHUI,1,2018
3209,KABUPATEN CIREBON,LAKI-LAKI,0-5,1,2018
3209,KABUPATEN CIREBON,LAKI-LAKI,13-17,1,2018
3209,KABUPATEN CIREBON,LAKI-LAKI,18-24,0,2018
3209,KABUPATEN CIREBON,LAKI-LAKI,25-44,0,2018
3209,KABUPATEN CIREBON,LAKI-LAKI,45-59,0,2018
3209,KABUPATEN CIREBON,LAKI-LAKI,6-12,0,2018
3209,KABUPATEN CIREBON,LAKI-LAKI,60+,0,2018
3209,KABUPATEN CIREBON,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3209,KABUPATEN CIREBON,PEREMPUAN,0-5,1,2018
3209,KABUPATEN CIREBON,PEREMPUAN,13-17,5,2018
3209,KABUPATEN CIREBON,PEREMPUAN,18-24,2,2018
3209,KABUPATEN CIREBON,PEREMPUAN,25-44,1,2018
3209,KABUPATEN CIREBON,PEREMPUAN,45-59,0,2018
3209,KABUPATEN CIREBON,PEREMPUAN,6-12,6,2018
3209,KABUPATEN CIREBON,PEREMPUAN,60+,0,2018
